[LOG] System::create                           : Header version = 2.00.08. Current version = 2.00.08.
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_11.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_11.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_12.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_12.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_13.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_13.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_14.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_14.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_15.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_15.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_16.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_16.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_17.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_17.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_18.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_18.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_19.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_19.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_20.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_20.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_21.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_21.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_22.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_22.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_23.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_23.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_24.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_24.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_25.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_25.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_26.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_26.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_27.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_27.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_28.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_28.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_29.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_29.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_30.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_30.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_31.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_31.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_32.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_32.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_33.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_33.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_34.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_34.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_35.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_35.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_36.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_36.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_37.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_37.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_38.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_38.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_39.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_39.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_40.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_40.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_41.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_41.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_42.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_42.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_43.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_43.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_44.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_44.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_45.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_45.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] ProfileClient::recvThreadLoopFunction    : Socket disconnected
[LOG] ProfileClient::markForDead               : Closing client connection
[LOG] Thread::callback                         : FMOD profiler thread (recv) finished.
[LOG] Thread::callback                         : FMOD profiler thread (send) finished.
[LOG] LiveUpdate::clientDisconnected           : client = 000001A03B6F4368
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::initThread                       : Init FMOD profiler thread (recv). Priority: 0, Stack Size: 131072, Semaphore: No, Sleep Time: 0, Looping: No.
[LOG] Thread::initThread                       : Init FMOD profiler thread (send). Priority: 0, Stack Size: 131072, Semaphore: No, Sleep Time: 0, Looping: No.
[LOG] LiveUpdate::clientConnected              : client = 000001A03B6F00A8
[LOG] LiveUpdate::readPacket                   : Recieved init packet from client 000001A03B6F00A8
[LOG] LiveUpdate::readPacket                   : Accepting init message for client 000001A03B6F00A8
[LOG] LiveUpdate::transitionToConnected        : 
[LOG] LiveUpdate::acceptInitPacket             : Client 000001A03B6F00A8 connected, entering connected state
[LOG] ProfileClient::recvThreadLoopFunction    : Socket disconnected
[LOG] ProfileClient::markForDead               : Closing client connection
[LOG] Thread::callback                         : FMOD profiler thread (recv) finished.
[LOG] Thread::callback                         : FMOD profiler thread (send) finished.
[LOG] LiveUpdate::clientDisconnected           : client = 000001A03B6F00A8
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::initThread                       : Init FMOD profiler thread (recv). Priority: 0, Stack Size: 131072, Semaphore: No, Sleep Time: 0, Looping: No.
[LOG] Thread::initThread                       : Init FMOD profiler thread (send). Priority: 0, Stack Size: 131072, Semaphore: No, Sleep Time: 0, Looping: No.
[LOG] LiveUpdate::clientConnected              : client = 000001A03B6F00A8
[LOG] LiveUpdate::readPacket                   : Recieved init packet from client 000001A03B6F00A8
[LOG] LiveUpdate::readPacket                   : Accepting init message for client 000001A03B6F00A8
[LOG] LiveUpdate::transitionToConnected        : 
[LOG] Manager::sendConnectTimeHash             : 
[LOG] LiveUpdate::sendBankHash                 : 
[LOG] LiveUpdate::acceptInitPacket             : Client 000001A03B6F00A8 connected, entering connected state
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_46.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_46.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[WRN] ObjectLookup::get                        : Lookup failed for ParameterLayoutModel: {57a13852-8e14-008d-2298-ed810c852ca8}
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_47.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_47.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_48.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_48.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] ProfileClient::recvThreadLoopFunction    : Socket disconnected
[LOG] ProfileClient::markForDead               : Closing client connection
[LOG] Thread::callback                         : FMOD profiler thread (recv) finished.
[LOG] Thread::callback                         : FMOD profiler thread (send) finished.
[LOG] LiveUpdate::clientDisconnected           : client = 000001A03B6F00A8
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::initThread                       : Init FMOD profiler thread (recv). Priority: 0, Stack Size: 131072, Semaphore: No, Sleep Time: 0, Looping: No.
[LOG] Thread::initThread                       : Init FMOD profiler thread (send). Priority: 0, Stack Size: 131072, Semaphore: No, Sleep Time: 0, Looping: No.
[LOG] LiveUpdate::clientConnected              : client = 000001A03B6F5418
[LOG] LiveUpdate::readPacket                   : Recieved init packet from client 000001A03B6F5418
[LOG] LiveUpdate::readPacket                   : Accepting init message for client 000001A03B6F5418
[LOG] LiveUpdate::transitionToConnected        : 
[LOG] LiveUpdate::acceptInitPacket             : Client 000001A03B6F5418 connected, entering connected state
[LOG] ProfileClient::recvThreadLoopFunction    : Socket disconnected
[LOG] ProfileClient::markForDead               : Closing client connection
[LOG] Thread::callback                         : FMOD profiler thread (send) finished.
[LOG] Thread::callback                         : FMOD profiler thread (recv) finished.
[LOG] LiveUpdate::clientDisconnected           : client = 000001A03B6F5418
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::initThread                       : Init FMOD profiler thread (recv). Priority: 0, Stack Size: 131072, Semaphore: No, Sleep Time: 0, Looping: No.
[LOG] Thread::initThread                       : Init FMOD profiler thread (send). Priority: 0, Stack Size: 131072, Semaphore: No, Sleep Time: 0, Looping: No.
[LOG] LiveUpdate::clientConnected              : client = 000001A03B6F00A8
[LOG] LiveUpdate::readPacket                   : Recieved init packet from client 000001A03B6F00A8
[LOG] LiveUpdate::readPacket                   : Accepting init message for client 000001A03B6F00A8
[LOG] LiveUpdate::transitionToConnected        : 
[LOG] Manager::sendConnectTimeHash             : 
[LOG] LiveUpdate::sendBankHash                 : 
[LOG] LiveUpdate::acceptInitPacket             : Client 000001A03B6F00A8 connected, entering connected state
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_49.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_49.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[WRN] ObjectLookup::get                        : Lookup failed for ParameterLayoutModel: {57a13852-8e14-008d-2298-ed810c852ca8}
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_50.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_50.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_51.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_51.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_52.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_52.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_53.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_53.bank'
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/milan/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-WgywZC/hotswap_54.bank
